nutrient,lower_bound,upper_bound
energy (kcal),1200,1500
protein (g),50,75
total fat (g),50,65
carbohydrate (g),20,35
dietary fiber (g),38,100
calcium (mg),1000,2000
iron (mg),18,45
phosphorus (mg),1250,4000
potassium (mg),4700,
sodium (mg),1500,2300
zinc (mg),11,40
copper (mg),0.9,10
manganese (mg),2.3,11
selenium (μg),55,400
vitamin c (mg),90,2000
thiamin (mg),1.2,
riboflavin (mg),1.3,
niacin (mg),16,35
pantothenic acid (mg),5,
vitamin b6 (mg),1.7,100
dietary folate equivalents (μg),400,1000
choline (mg),550,3500
vitamin b12 (μg),2.4,
vitamin a retinol activity equivalents (μg),900,3000
vitamin e (alpha-tocopherol) (mg),15,1000
vitamin d (iu),400,4000
vitamin k (phylloquinone) (μg),120,
polyunsaturated fatty acids (g),1.6,16
