ndb_id,description,water (g),energy (kcal),protein (g),total fat (g),ash (g),carbohydrate (g),dietary fiber (g),sugar (g),calcium (mg),iron (mg),magnesium (mg),phosphorus (mg),potassium (mg),sodium (mg),zinc (mg),copper (mg),manganese (mg),selenium (μg),vitamin c (mg),thiamin (mg),riboflavin (mg),niacin (mg),pantothenic acid (mg),vitamin b6 (mg),total folate (μg),folic acid (μg),food folate (μg),dietary folate (μg),choline (mg),vitamin b12 (μg),vitamin a (iu),vitamin a (μg),retinol (μg),alpha-carotene (μg),beta-carotene (μg),beta-cryptoxanthin (μg),lycopene (μg),lutein + zeazanthin (μg),vitamin e (mg),vitamin d (μg),vitamin d (iu),vitamin k (μg),saturated fatty acid (g),monounsaturated fatty acids (g),polyunsaturated fatty acids (g),cholesterol (mg)
01019,"CHEESE,FETA",55.22,264,14.21,21.28,5.20,4.09,0.0,4.09,493,0.65,19,337,62,917,2.88,0.032,0.028,15.0,0.0,0.154,0.844,0.991,0.967,0.424,32,0,32,32,15.4,1.69,422,125,125,0,3,0,0,0,0.18,0.4,16,1.8,14.946,4.623,0.591,89
01036,"CHEESE,RICOTTA,WHOLE MILK",71.70,174,11.26,12.98,1.02,3.04,0.0,0.27,207,0.38,11,158,105,84,1.16,0.021,0.006,14.5,0.0,0.013,0.195,0.104,0.213,0.043,12,0,12,12,17.5,0.34,445,120,117,0,33,0,0,0,0.11,0.2,10,1.1,8.295,3.627,0.385,51
01037,"CHEESE,RICOTTA,PART SKIM MILK",74.41,138,11.39,7.91,1.15,5.14,0.0,0.31,272,0.44,15,183,125,99,1.34,0.034,0.010,16.7,0.0,0.021,0.185,0.078,0.242,0.020,13,0,13,13,16.3,0.29,384,107,105,0,20,0,0,0,0.07,0.1,6,0.7,4.927,2.314,0.260,31
01040,"CHEESE,SWISS",37.63,393,26.96,30.99,2.97,1.44,0.0,0.00,890,0.13,33,574,72,187,4.37,0.047,0.026,30.0,0.0,0.011,0.302,0.064,0.353,0.071,10,0,10,10,15.5,3.06,1047,288,283,1,61,2,1,8,0.60,0.0,0,1.4,18.227,8.046,1.341,93
01078,"MILK,PRODUCER,FLUID,3.7% MILKFAT",87.69,64,3.28,3.66,0.72,4.65,0.0,,119,0.05,13,93,151,49,0.38,0.010,0.004,2.0,1.5,0.038,0.161,0.084,0.313,0.042,5,0,5,5,,0.36,138,33,31,,,,,,,,,,2.278,1.057,0.136,14
01109,"MILK,SHEEP,FLUID",80.70,108,5.98,7.00,0.96,5.36,0.0,,193,0.10,18,158,137,44,0.54,0.046,0.018,1.7,4.2,0.065,0.355,0.417,0.407,0.060,7,0,7,7,,0.71,147,44,44,,,,,,,,,,4.603,1.724,0.308,27
01123,"EGG,WHL,RAW,FRSH",76.15,143,12.56,9.51,1.06,0.72,0.0,0.37,56,1.75,12,198,138,142,1.29,0.072,0.028,30.7,0.0,0.040,0.457,0.075,1.533,0.170,47,0,47,47,293.8,0.89,540,160,160,0,0,9,0,503,1.05,2.0,82,0.3,3.126,3.658,1.911,372
01125,"EGG,YOLK,RAW,FRSH",52.31,322,15.86,26.54,1.71,3.59,0.0,0.56,129,2.73,5,390,109,48,2.30,0.077,0.055,56.0,0.0,0.176,0.528,0.024,2.990,0.350,146,0,146,146,820.2,1.95,1442,381,371,38,88,33,0,1094,2.58,5.4,218,0.7,9.551,11.738,4.204,1085
01126,"EGG,YOLK,RAW,FRZ,PAST",56.44,296,15.53,25.60,1.62,0.81,0.0,0.16,134,4.55,11,420,121,67,3.17,0.000,0.078,56.4,0.0,0.223,0.563,0.031,3.437,0.412,151,0,151,151,639.3,1.90,1469,419,419,36,10,32,0,904,2.24,6.0,238,0.7,8.615,9.956,4.827,991
01129,"EGG,WHL,CKD,HARD-BOILED",74.62,155,12.58,10.61,1.08,1.12,0.0,1.12,50,1.19,10,172,126,124,1.05,0.013,0.026,30.8,0.0,0.066,0.513,0.064,1.398,0.121,44,0,44,44,293.8,1.11,520,149,148,0,11,10,0,353,1.03,2.2,87,0.3,3.267,4.077,1.414,373
